Flow,t0,t0_iso,dt0,pa,da,v,dv,minv,maxv,halo
0043,2024/05/24 18:00,2024-05-24T18_00_00.000000000,01,327,008,0294,0006,0286,0303,
0042,2024/05/24 05:00,2024-05-24T05_00_00.000000000,00,088,018,0400,0000,0400,0400,
0041,2024/05/23 08:36,2024-05-23T08_36_00.000000000,02,227,036,0374,0035,0314,0459,
0040,2024/05/22 13:36,2024-05-22T13_36_00.000000000,01,233,008,0281,0000,0281,0281,
0039,2024/05/21 11:54,2024-05-21T11_54_00.000000000,00,167,008,0381,0070,0260,0422,
0038,2024/05/19 05:48,2024-05-19T05_48_00.000000000,01,086,006,0246,0040,0187,0300,
0037,2024/05/19 05:12,2024-05-19T05_12_00.000000000,01,167,016,0193,0049,0137,0303,
0036,2024/05/19 04:00,2024-05-19T04_00_00.000000000,00,081,024,0244,0009,0229,0258,
0035,2024/05/18 04:00,2024-05-18T04_00_00.000000000,01,200,058,0190,0034,0137,0254,
0034,2024/05/17 16:00,2024-05-17T16_00_00.000000000,01,328,018,0644,0089,0466,0762,
0033,2024/05/16 08:00,2024-05-16T08_00_00.000000000,01,245,012,0294,0074,0250,0440,
0032,2024/05/15 17:24,2024-05-15T17_24_00.000000000,01,265,008,0292,0240,0248,0679,
0031,2024/05/15 17:12,2024-05-15T17_12_00.000000000,01,112,022,0592,0080,0440,0694,
0030,2024/05/15 04:12,2024-05-15T04_12_00.000000000,01,353,008,0254,0000,0254,0254,
0029,2024/05/14 23:24,2024-05-14T23_24_00.000000000,01,312,006,0402,0217,0141,0650,
0028,2024/05/14 14:36,2024-05-14T14_36_00.000000000,01,236,006,0538,0011,0520,0548,
0027,2024/05/14 13:54,2024-05-14T13_54_00.000000000,01,105,008,0218,0001,0218,0220,
0026,2024/05/14 03:24,2024-05-14T03_24_00.000000000,01,340,006,0176,0114,0116,0398,
0025,2024/05/13 19:48,2024-05-13T19_48_00.000000000,01,261,008,0197,0061,0135,0310,
0024,2024/05/13 14:12,2024-05-13T14_12_00.000000000,02,232,006,0312,0000,0312,0312,
0023,2024/05/12 15:12,2024-05-12T15_12_00.000000000,01,173,020,0376,0057,0318,0459,
0022,2024/05/12 01:36,2024-05-12T01_36_00.000000000,01,219,024,0452,0071,0286,0558,
0021,2024/05/12 01:12,2024-05-12T01_12_00.000000000,01,062,022,0364,0148,0188,0624,
0020,2024/05/11 16:00,2024-05-11T16_00_00.000000000,01,313,008,0508,0146,0258,0664,
0019,2024/05/11 11:24,2024-05-11T11_24_00.000000000,02,040,006,0149,0039,0117,0220,
0018,2024/05/11 09:12,2024-05-11T09_12_00.000000000,01,078,014,0305,0257,0170,0801,
0017,2024/05/11 03:48,2024-05-11T03_48_00.000000000,01,278,010,0248,0078,0110,0303,
0016,2024/05/10 22:12,2024-05-10T22_12_00.000000000,03,076,042,0149,0048,0113,0256,
0015,2024/05/10 02:24,2024-05-10T02_24_00.000000000,03,024,022,0143,0022,0106,0170,
0014,2024/05/09 05:12,2024-05-09T05_12_00.000000000,00,117,012,0242,0017,0212,0259,
0013,2024/05/08 12:24,2024-05-08T12_24_00.000000000,00,047,048,0428,0035,0339,0440,
0012,2024/05/08 11:48,2024-05-08T11_48_00.000000000,01,102,018,0390,0044,0309,0413,
0011,2024/05/08 05:12,2024-05-08T05_12_00.000000000,01,085,064,0385,0123,0297,0679,
0010,2024/05/07 13:48,2024-05-07T13_48_00.000000000,02,061,008,0191,0052,0145,0274,
0009,2024/05/07 05:24,2024-05-07T05_24_00.000000000,01,069,012,0173,0005,0168,0182,
